Gas,"NFR/CRF Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1ai,"Miscellaneous industrial/commercial combustion",MSW,kilotonne,22.978184166,23.3760748009091,31.1349421816364,37.1033017052726,43.3700792050909,51.1289465858183,62.7573003910365,52.0341477802364,49.3384387287273,49.0300734866727,75.9672694700182,80.3241719222726,91.7436331441635,116.512325167254,115.069971615709,126.777903547909,111.011487139636,136.585907698418,152.591058487637,143.151103174418,137.182743650782,151.586384634491,143.300312162509,153.884203051091,157.574638689873,136.705274888891,143.240628567272,166.905174078491,165.621976780909,160.688132908036,184.85004171289,213.796585402527,194.011473581672
"Carbon Dioxide as Carbon",1A1ai,"Power stations",Coal,kilotonne,49949.9489217003,50185.8424697987,46898.5985718121,39044.7021530202,36854.3591946308,34686.7797476509,32618.0998586129,28045.0206926175,29136.9723847874,24572.5596635347,27706.6092699777,30895.2350241789,29131.6481182641,31921.9712000001,30712.7296000001,31121.8129454348,34396.6558910673,31367.5868792668,28327.0052092471,23239.6634347719,24508.9085986979,24711.1602629135,32945.8953979543,30539.3183523869,23397.8282362534,17837.2165186273,7411.49966405695,5341.92840731755,4001.20768614236,1765.12011363719,1421.03236239222,1567.97555222862,1376.16649077514
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Fuel oil",kilotonne,5308.0554292513,3989.49519455745,2790.07840193185,2513.42366112797,1925.77683634728,1831.34019436603,1825.92172792244,943.259256810887,808.425844763319,840.374160692387,830.915542095555,867.184476237257,685.214163463769,640.140495363008,723.683220191219,584.73253135921,770.699329107896,625.386174107017,885.481353238775,670.643729385117,484.123770314633,340.790753130043,385.995731778215,302.574548135512,254.670692623007,250.558776753218,269.63581322209,202.77129517092,201.347451490661,185.060032167222,143.582450736253,141.326774066214,138.705701023529
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Gas oil",kilotonne,178.400725160975,186.756065759951,181.357692712434,194.507415349015,205.374622723937,181.646030978229,193.153177095791,294.198199730611,282.171371437699,328.711490632479,280.244831868999,282.641616946487,284.902852024461,290.601138880934,326.887769725182,315.554905125784,333.845962019333,249.136234429685,256.45946092748,235.138339509111,227.755085451094,231.596823076166,224.784396596054,234.29733313076,237.90297231193,226.949327101049,211.100219059762,204.36807377222,217.656154410766,210.557430547972,188.931200968958,190.696128361194,172.738914291525
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Natural gas",kilotonne,4.35202950288095,10.0092230867043,136.706790566427,2504.26629669899,4003.58621733278,5339.28957251269,7500.39746114688,10147.4057797018,11220.8912149855,13658.292703323,13954.730532634,13774.158382353,14534.4513287696,14304.6281983244,15286.5292013997,14817.4763453261,13915.0137502839,16018.7131812344,17289.4796561891,16433.9651504529,17266.9934927957,13850.4700414591,9216.96941871631,8791.04626205821,9514.08168505946,9317.81422845007,13592.9735931213,12930.6804178468,12357.8620678427,12310.6530654643,10358.4838538721,11421.6921473866,11747.4610962423
"Carbon Dioxide as Carbon",1A1ai,"Power stations",Orimulsion,kilotonne,92.6124999999998,249.754999999999,768.384999999998,846.060000238998,733.132499999998,762.409999999998,521.019999976099,108.745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations",MSW,kilotonne,43.6679233349828,41.4350938469855,47.7931646095285,71.4047496610987,107.208250522877,123.637202691483,106.014682579611,156.441022909245,249.403361273761,229.882957143593,240.0281376277,249.320193818317,262.222928146126,232.219191427508,225.105560202367,213.335073010475,248.74274651396,226.859349071324,220.125265319953,290.873259182909,327.349280794437,331.132563093786,436.564271464549,420.349436013201,595.227316521018,845.084014522993,1050.51226302903,1118.11521738474,1304.33277433999,1465.45686905231,1603.14947500618,1673.25911595789,1683.4401016745
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Waste oils",kilotonne,92.3648067116176,87.1179164293067,92.1143127948972,96.4038068612282,97.0071874698746,111.369806597299,109.597930620008,112.717663326738,103.721731273344,99.4567617588869,108.974576285423,123.982391996852,130.434072932249,146.080483807078,163.353554771293,133.973913057284,-,-,-,48.745634768094,55.4493276935528,46.9480230413514,39.402493810505,41.8169102181119,41.6260040969673,39.1874574951635,38.9451554844033,39.5821797287073,35.2786554326877,34.2167930237632,28.0370877501735,28.0692613831294,26.5468049709439
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Sour gas",kilotonne,-,-,580.203152686948,1479.03105828831,1661.30111344896,1716.26040489053,1762.87144953085,1402.87941755964,862.53009252349,758.435056581044,424.294320616694,221.736774186394,202.972585506312,108.91049685955,115.576100187323,84.884280532925,28.7683101817432,1.96173177436735,-,12.0715175188411,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Scrap tyres",kilotonne,-,-,-,-,24.5795643236716,24.5795643236716,38.2348778368225,41.8762947736628,30.041689728932,22.7588558552515,7.41489919321214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
